"fasta_length"
"1",200424568
"2",184952960
"3",162825543
"4",156060657
"5",156282185
"6",152789639
"7",142579351
"8",132173023
"9",126342013
"10",133752109
"11",126372555
"12",116209749
"13",121085697
"14",119554585
"15",106035878
"16",99123743
"17",98844223
"18",91110059
"19",61167864
"X",147371385
"KV417256.1",544993
"LVXN01049909.1",284875
"LVXN01051378.1",234408
"LVXN01051298.1",191185
"LVXN01050405.1",127455
"KV417255.1",114057
"LVXN01049474.1",109538
"LVXN01050678.1",106919
"LVXN01050671.1",106655
"LVXN01051727.1",106179
"LVXN01049704.1",101680
"LVXN01051854.1",99873
"LVXN01051869.1",97826
"LVXN01049488.1",97713
"LVXN01051409.1",97109
"LVXN01049635.1",91979
"LVXN01050180.1",89442
"LVXN01050615.1",87848
"LVXN01052302.1",84259
"LVXN01052119.1",83936
"LVXN01051272.1",80806
"LVXN01051991.1",77064
"LVXN01050568.1",75267
"LVXN01050522.1",73131
"LVXN01052040.1",63691
"LVXN01049828.1",61856
"LVXN01050205.1",60233
"LVXN01050987.1",59658
"LVXN01051171.1",57445
"LVXN01052254.1",56342
"LVXN01050047.1",56123
"LVXN01049771.1",53886
"LVXN01051900.1",50898
"LVXN01050516.1",50310
"LVXN01052151.1",49241
"LVXN01050946.1",48544
"LVXN01052101.1",48475
"LVXN01050523.1",48113
"LVXN01050362.1",46972
"LVXN01049665.1",46379
"LVXN01049602.1",46246
"LVXN01050833.1",46140
"LVXN01050204.1",45657
"LVXN01050165.1",45483
"LVXN01050115.1",45146
"LVXN01049936.1",44920
"LVXN01051537.1",42294
"LVXN01051911.1",41990
"LVXN01052346.1",41770
"LVXN01050465.1",40558
"LVXN01051121.1",40069
"LVXN01050377.1",38452
"LVXN01050133.1",38342
"LVXN01052178.1",38059
"LVXN01049406.1",37208
"LVXN01050812.1",36412
"LVXN01050731.1",36147
"LVXN01050137.1",36095
"LVXN01050832.1",35707
"LVXN01052216.1",35317
"LVXN01050874.1",34462
"LVXN01049599.1",33896
"LVXN01051492.1",33627
"LVXN01051617.1",32842
"LVXN01050119.1",32785
"LVXN01051098.1",32502
"LVXN01051574.1",32417
"LVXN01051781.1",32380
"LVXN01051670.1",32189
"LVXN01050927.1",31866
"LVXN01049582.1",30936
"LVXN01051282.1",30832
"LVXN01051193.1",30656
"LVXN01051839.1",30372
"LVXN01050944.1",30311
"LVXN01051755.1",30172
"LVXN01051918.1",30066
"LVXN01051493.1",30046
"LVXN01051866.1",29840
"LVXN01050138.1",29764
"LVXN01052319.1",28918
"LVXN01050172.1",28839
"LVXN01051599.1",28457
"LVXN01051824.1",28262
"LVXN01050073.1",28182
"LVXN01052338.1",28161
"LVXN01050298.1",28061
"LVXN01049398.1",27779
"LVXN01050290.1",27700
"LVXN01052082.1",27674
"LVXN01050296.1",27572
"LVXN01051607.1",27314
"LVXN01051457.1",26815
"LVXN01050135.1",26752
"LVXN01049561.1",26647
"LVXN01051405.1",26604
"LVXN01051246.1",26589
"LVXN01051447.1",26342
"LVXN01051076.1",26242
"LVXN01049870.1",26201
"LVXN01051687.1",25645
"LVXN01049402.1",25290
"LVXN01050659.1",25144
"LVXN01049580.1",24995
"LVXN01050741.1",24958
"LVXN01051128.1",24930
"LVXN01050539.1",24918
"LVXN01050420.1",24669
"LVXN01052248.1",24471
"LVXN01049519.1",24440
"LVXN01051519.1",24305
"LVXN01049722.1",24291
"LVXN01049555.1",24212
"LVXN01051910.1",23941
"LVXN01051659.1",23801
"LVXN01049978.1",23734
"LVXN01050271.1",23361
"LVXN01049548.1",23262
"LVXN01050364.1",23227
"LVXN01049858.1",23164
"LVXN01050845.1",22814
"LVXN01050367.1",22768
"LVXN01050025.1",22580
"LVXN01051829.1",22321
"LVXN01052136.1",22297
"LVXN01052148.1",22105
"LVXN01051234.1",21983
"LVXN01052140.1",21760
"LVXN01049758.1",21474
"LVXN01050691.1",21418
